time,latitude,longitude,clay_content,sand_content,silt_content,sm_aux,sm_tgt
2013-07-07,54.875,9.125,5.0,86.0,9.0,0.05032763,0.37
2013-07-08,54.875,9.125,5.0,86.0,9.0,0.048403643,0.38
2013-07-09,54.875,9.125,5.0,86.0,9.0,0.049123492,0.35
2013-07-11,54.875,9.125,5.0,86.0,9.0,0.046769388,0.34
2013-07-12,54.875,9.125,5.0,86.0,9.0,0.05080037,0.42
2013-07-15,54.875,9.125,5.0,86.0,9.0,0.04863424,0.37
2013-07-16,54.875,9.125,5.0,86.0,9.0,0.054868814,0.38
2013-07-17,54.875,9.125,5.0,86.0,9.0,0.061471265,0.45
2013-07-19,54.875,9.125,5.0,86.0,9.0,0.05897412,0.42
2013-07-20,54.875,9.125,5.0,86.0,9.0,0.06761888,0.37
2013-07-21,54.875,9.125,5.0,86.0,9.0,0.0840682,0.38
2013-07-22,54.875,9.125,5.0,86.0,9.0,0.09113981,0.35
2013-07-24,54.875,9.125,5.0,86.0,9.0,0.10026285,0.32
2013-07-25,54.875,9.125,5.0,86.0,9.0,0.109746866,0.41
2013-07-26,54.875,9.125,5.0,86.0,9.0,0.12652974,0.47
2013-07-27,54.875,9.125,5.0,86.0,9.0,0.13871266,0.36
2013-07-29,54.875,9.125,5.0,86.0,9.0,0.14576462,0.34
2013-07-30,54.875,9.125,5.0,86.0,9.0,0.14399181,0.35
2013-07-31,54.875,9.125,5.0,86.0,9.0,0.15356368,0.42
2013-08-01,54.875,9.125,5.0,86.0,9.0,0.14307551,0.39
2013-08-03,54.875,9.125,5.0,86.0,9.0,0.14681236,0.31
2013-08-04,54.875,9.125,5.0,86.0,9.0,0.147836,0.41
2013-08-05,54.875,9.125,5.0,86.0,9.0,0.1532265,0.35
2013-08-06,54.875,9.125,5.0,86.0,9.0,0.16890095,0.18
2013-08-09,54.875,9.125,5.0,86.0,9.0,0.18985376,0.3
2013-08-10,54.875,9.125,5.0,86.0,9.0,0.20063153,0.38
2013-08-11,54.875,9.125,5.0,86.0,9.0,0.2105818,0.45
2013-08-13,54.875,9.125,5.0,86.0,9.0,0.21831861,0.4
2013-08-14,54.875,9.125,5.0,86.0,9.0,0.21742661,0.32
2013-08-15,54.875,9.125,5.0,86.0,9.0,0.20354325,0.34
2013-08-16,54.875,9.125,5.0,86.0,9.0,0.1886509,0.37
2013-08-17,54.875,9.125,5.0,86.0,9.0,0.17954181,0.41
2013-08-18,54.875,9.125,5.0,86.0,9.0,0.1563251,0.44
2013-08-19,54.875,9.125,5.0,86.0,9.0,0.14814162,0.34
2013-08-20,54.875,9.125,5.0,86.0,9.0,0.13284758,0.37
2013-08-21,54.875,9.125,5.0,86.0,9.0,0.12069342,0.34
2013-08-22,54.875,9.125,5.0,86.0,9.0,0.111825936,0.34
2013-08-23,54.875,9.125,5.0,86.0,9.0,0.10434983,0.33
2013-08-24,54.875,9.125,5.0,86.0,9.0,0.10406328,0.31
2013-08-25,54.875,9.125,5.0,86.0,9.0,0.09253127,0.29
2013-08-26,54.875,9.125,5.0,86.0,9.0,0.101720914,0.28
2013-08-27,54.875,9.125,5.0,86.0,9.0,0.103906825,0.37
2013-08-29,54.875,9.125,5.0,86.0,9.0,0.107719526,0.36
2013-08-30,54.875,9.125,5.0,86.0,9.0,0.10739167,0.32
2013-08-31,54.875,9.125,5.0,86.0,9.0,0.12875102,0.35
2013-09-01,54.875,9.125,5.0,86.0,9.0,0.1626236,0.32
2013-09-03,54.875,9.125,5.0,86.0,9.0,0.1837874,0.52
2013-09-04,54.875,9.125,5.0,86.0,9.0,0.19666317,0.39
2013-09-05,54.875,9.125,5.0,86.0,9.0,0.2108186,0.37
2013-09-06,54.875,9.125,5.0,86.0,9.0,0.2216346,0.32
2013-09-07,54.875,9.125,5.0,86.0,9.0,0.23231858,0.36
2013-09-08,54.875,9.125,5.0,86.0,9.0,0.2556233,0.39
2013-09-09,54.875,9.125,5.0,86.0,9.0,0.26775536,0.36
2013-09-10,54.875,9.125,5.0,86.0,9.0,0.263056,0.39
2013-09-11,54.875,9.125,5.0,86.0,9.0,0.27681807,0.41
2013-09-13,54.875,9.125,5.0,86.0,9.0,0.27370468,0.35
2013-09-14,54.875,9.125,5.0,86.0,9.0,0.2745658,0.42
2013-09-15,54.875,9.125,5.0,86.0,9.0,0.28571606,0.43
2013-09-18,54.875,9.125,5.0,86.0,9.0,0.3128987,0.41
2013-09-20,54.875,9.125,5.0,86.0,9.0,0.29870984,0.39
2013-09-21,54.875,9.125,5.0,86.0,9.0,0.2900731,0.44
2013-09-22,54.875,9.125,5.0,86.0,9.0,0.286316,0.38
2013-09-23,54.875,9.125,5.0,86.0,9.0,0.27460784,0.35
2013-09-24,54.875,9.125,5.0,86.0,9.0,0.2630908,0.4
2013-09-25,54.875,9.125,5.0,86.0,9.0,0.25316712,0.34
2013-09-26,54.875,9.125,5.0,86.0,9.0,0.22900519,0.44
2013-09-27,54.875,9.125,5.0,86.0,9.0,0.20606771,0.38
2013-09-28,54.875,9.125,5.0,86.0,9.0,0.20338367,0.43
2013-09-29,54.875,9.125,5.0,86.0,9.0,0.2027232,0.34
2013-10-01,54.875,9.125,5.0,86.0,9.0,0.20024663,0.34
2013-10-02,54.875,9.125,5.0,86.0,9.0,0.20337324,0.36
2013-10-03,54.875,9.125,5.0,86.0,9.0,0.20533642,0.35
2013-10-04,54.875,9.125,5.0,86.0,9.0,0.21542715,0.33
2013-10-05,54.875,9.125,5.0,86.0,9.0,0.21852182,0.46
2013-10-06,54.875,9.125,5.0,86.0,9.0,0.22847022,0.34
2013-10-07,54.875,9.125,5.0,86.0,9.0,0.22467823,0.38
2013-10-08,54.875,9.125,5.0,86.0,9.0,0.23351061,0.35
2013-10-09,54.875,9.125,5.0,86.0,9.0,0.24261947,0.36
2013-10-10,54.875,9.125,5.0,86.0,9.0,0.25722754,0.35
2013-10-11,54.875,9.125,5.0,86.0,9.0,0.2738283,0.34
2013-10-12,54.875,9.125,5.0,86.0,9.0,0.28526106,0.33
2013-10-14,54.875,9.125,5.0,86.0,9.0,0.30603972,0.39
2013-10-15,54.875,9.125,5.0,86.0,9.0,0.31082216,0.36
2013-10-17,54.875,9.125,5.0,86.0,9.0,0.31513616,0.44
2013-10-18,54.875,9.125,5.0,86.0,9.0,0.32686704,0.38
2013-10-20,54.875,9.125,5.0,86.0,9.0,0.34246367,0.44
2013-10-21,54.875,9.125,5.0,86.0,9.0,0.34614503,0.49
2013-10-22,54.875,9.125,5.0,86.0,9.0,0.335498,0.37
2013-10-24,54.875,9.125,5.0,86.0,9.0,0.33346787,0.34
2013-10-25,54.875,9.125,5.0,86.0,9.0,0.35066667,0.37
2013-10-26,54.875,9.125,5.0,86.0,9.0,0.36745942,0.36
2013-10-27,54.875,9.125,5.0,86.0,9.0,0.38376,0.35
2013-10-28,54.875,9.125,5.0,86.0,9.0,0.3983106,0.41
2013-10-30,54.875,9.125,5.0,86.0,9.0,0.4173352,0.41
2013-10-31,54.875,9.125,5.0,86.0,9.0,0.4174572,0.36
2013-11-01,54.875,9.125,5.0,86.0,9.0,0.41016394,0.42
2013-11-03,54.875,9.125,5.0,86.0,9.0,0.41108325,0.37
2013-11-05,54.875,9.125,5.0,86.0,9.0,0.4061628,0.38
2013-11-06,54.875,9.125,5.0,86.0,9.0,0.40229544,0.46
2013-11-07,54.875,9.125,5.0,86.0,9.0,0.38716084,0.44
2013-11-08,54.875,9.125,5.0,86.0,9.0,0.37192044,0.4
2013-11-09,54.875,9.125,5.0,86.0,9.0,0.37595192,0.46
2013-11-10,54.875,9.125,5.0,86.0,9.0,0.37497184,0.42
2013-11-12,54.875,9.125,5.0,86.0,9.0,0.375115,0.44
2013-11-14,54.875,9.125,5.0,86.0,9.0,0.39642355,0.36
2013-11-15,54.875,9.125,5.0,86.0,9.0,0.3730261,0.41
2013-11-16,54.875,9.125,5.0,86.0,9.0,0.35880837,0.38
2013-11-17,54.875,9.125,5.0,86.0,9.0,0.3531934,0.43
2013-11-19,54.875,9.125,5.0,86.0,9.0,0.343622,0.43
2013-11-22,54.875,9.125,5.0,86.0,9.0,0.30587032,0.49
2013-11-23,54.875,9.125,5.0,86.0,9.0,0.30432743,0.39
2013-11-24,54.875,9.125,5.0,86.0,9.0,0.29800433,0.42
2013-11-26,54.875,9.125,5.0,86.0,9.0,0.3195079,0.26
2013-11-27,54.875,9.125,5.0,86.0,9.0,0.33801156,0.42
2013-11-28,54.875,9.125,5.0,86.0,9.0,0.34999812,0.38
2013-11-29,54.875,9.125,5.0,86.0,9.0,0.3519052,0.39
2013-11-30,54.875,9.125,5.0,86.0,9.0,0.3686846,0.41
2013-12-01,54.875,9.125,5.0,86.0,9.0,0.36245227,0.46
2013-12-04,54.875,9.125,5.0,86.0,9.0,0.35607505,0.4
2013-12-05,54.875,9.125,5.0,86.0,9.0,0.34795254,0.37
2013-12-07,54.875,9.125,5.0,86.0,9.0,0.3455009,0.45
2013-12-08,54.875,9.125,5.0,86.0,9.0,0.34396413,0.35
2013-12-09,54.875,9.125,5.0,86.0,9.0,0.34737882,0.46
2013-12-10,54.875,9.125,5.0,86.0,9.0,0.35607013,0.43
2013-12-12,54.875,9.125,5.0,86.0,9.0,0.36413,0.4
2013-12-13,54.875,9.125,5.0,86.0,9.0,0.37694243,0.44
2013-12-14,54.875,9.125,5.0,86.0,9.0,0.39128882,0.43
2013-12-15,54.875,9.125,5.0,86.0,9.0,0.40944615,0.43
2013-12-17,54.875,9.125,5.0,86.0,9.0,0.43015563,0.49
2013-12-22,54.875,9.125,5.0,86.0,9.0,0.42092618,0.49
2013-12-24,54.875,9.125,5.0,86.0,9.0,0.42710796,0.52
2013-12-28,54.875,9.125,5.0,86.0,9.0,0.44034365,0.39
2013-12-30,54.875,9.125,5.0,86.0,9.0,0.4156746,0.39
2013-12-31,54.875,9.125,5.0,86.0,9.0,0.42324254,0.43
2013-01-03,54.875,9.375,5.0,77.0,17.0,0.40022758,0.56
2013-01-05,54.875,9.375,5.0,77.0,17.0,0.35697976,0.47
2013-01-07,54.875,9.375,5.0,77.0,17.0,0.31822902,0.44
2013-01-08,54.875,9.375,5.0,77.0,17.0,0.2764435,0.58
2013-01-14,54.875,9.375,5.0,77.0,17.0,0.22663885,0.4
2013-01-17,54.875,9.375,5.0,77.0,17.0,0.17340189,0.42
2013-01-22,54.875,9.375,5.0,77.0,17.0,0.19444402,0.37
2013-01-26,54.875,9.375,5.0,77.0,17.0,0.25886324,0.29
2013-01-27,54.875,9.375,5.0,77.0,17.0,0.30402762,0.29
2013-01-28,54.875,9.375,5.0,77.0,17.0,0.30357236,0.36
2013-01-29,54.875,9.375,5.0,77.0,17.0,0.30446693,0.54
2013-01-30,54.875,9.375,5.0,77.0,17.0,0.32607383,0.56
2013-02-06,54.875,9.375,5.0,77.0,17.0,0.31395346,0.49
2013-02-17,54.875,9.375,5.0,77.0,17.0,0.2313823,0.44
2013-02-18,54.875,9.375,5.0,77.0,17.0,0.21855552,0.44
2013-02-22,54.875,9.375,5.0,77.0,17.0,0.23183881,0.33
2013-02-23,54.875,9.375,5.0,77.0,17.0,0.24667996,0.38
2013-02-24,54.875,9.375,5.0,77.0,17.0,0.28253147,0.39
2013-02-25,54.875,9.375,5.0,77.0,17.0,0.27592596,0.5
2013-02-27,54.875,9.375,5.0,77.0,17.0,0.28519875,0.33
2013-03-01,54.875,9.375,5.0,77.0,17.0,0.30538338,0.45
2013-03-02,54.875,9.375,5.0,77.0,17.0,0.32167947,0.39
2013-03-04,54.875,9.375,5.0,77.0,17.0,0.2918956,0.4
2013-03-07,54.875,9.375,5.0,77.0,17.0,0.27774698,0.41
2013-03-13,54.875,9.375,5.0,77.0,17.0,0.25801083,0.37
2013-03-22,54.875,9.375,5.0,77.0,17.0,0.21024042,0.24
2013-03-27,54.875,9.375,5.0,77.0,17.0,0.17606385,0.28
2013-03-30,54.875,9.375,5.0,77.0,17.0,0.17670305,0.42
2013-03-31,54.875,9.375,5.0,77.0,17.0,0.18195249,0.42
2013-04-02,54.875,9.375,5.0,77.0,17.0,0.18023235,0.29
2013-04-04,54.875,9.375,5.0,77.0,17.0,0.17859635,0.3
2013-04-05,54.875,9.375,5.0,77.0,17.0,0.19519956,0.33
2013-04-07,54.875,9.375,5.0,77.0,17.0,0.22275117,0.41
2013-04-09,54.875,9.375,5.0,77.0,17.0,0.24445693,0.4
2013-04-11,54.875,9.375,5.0,77.0,17.0,0.22670175,0.39
2013-04-12,54.875,9.375,5.0,77.0,17.0,0.21681356,0.46
2013-04-13,54.875,9.375,5.0,77.0,17.0,0.20068389,0.43
2013-04-14,54.875,9.375,5.0,77.0,17.0,0.18817747,0.42
2013-04-15,54.875,9.375,5.0,77.0,17.0,0.17170714,0.4
2013-04-17,54.875,9.375,5.0,77.0,17.0,0.14935766,0.4
2013-04-18,54.875,9.375,5.0,77.0,17.0,0.13964573,0.37
2013-04-19,54.875,9.375,5.0,77.0,17.0,0.12727275,0.38
2013-04-20,54.875,9.375,5.0,77.0,17.0,0.12277704,0.37
2013-04-22,54.875,9.375,5.0,77.0,17.0,0.11786024,0.4
2013-04-23,54.875,9.375,5.0,77.0,17.0,0.12247906,0.43
2013-04-25,54.875,9.375,5.0,77.0,17.0,0.13009685,0.36
2013-04-26,54.875,9.375,5.0,77.0,17.0,0.1333251,0.44
2013-04-27,54.875,9.375,5.0,77.0,17.0,0.1252961,0.37
2013-04-28,54.875,9.375,5.0,77.0,17.0,0.11844737,0.38
2013-04-29,54.875,9.375,5.0,77.0,17.0,0.11904157,0.37
2013-04-30,54.875,9.375,5.0,77.0,17.0,0.116948545,0.36
2013-05-01,54.875,9.375,5.0,77.0,17.0,0.121200375,0.35
2013-05-02,54.875,9.375,5.0,77.0,17.0,0.13552763,0.38
2013-05-05,54.875,9.375,5.0,77.0,17.0,0.15724008,0.39
2013-05-06,54.875,9.375,5.0,77.0,17.0,0.17066988,0.37
2013-05-08,54.875,9.375,5.0,77.0,17.0,0.1777769,0.47
2013-05-10,54.875,9.375,5.0,77.0,17.0,0.19321226,0.4
2013-05-11,54.875,9.375,5.0,77.0,17.0,0.21172771,0.4
2013-05-15,54.875,9.375,5.0,77.0,17.0,0.24266623,0.36
2013-05-16,54.875,9.375,5.0,77.0,17.0,0.23545839,0.4
2013-05-17,54.875,9.375,5.0,77.0,17.0,0.22150491,0.39
2013-05-18,54.875,9.375,5.0,77.0,17.0,0.19631651,0.38
2013-05-19,54.875,9.375,5.0,77.0,17.0,0.19613689,0.44
2013-05-20,54.875,9.375,5.0,77.0,17.0,0.20332676,0.39
2013-05-21,54.875,9.375,5.0,77.0,17.0,0.21202523,0.4
2013-05-23,54.875,9.375,5.0,77.0,17.0,0.20589529,0.39
2013-05-24,54.875,9.375,5.0,77.0,17.0,0.19103569,0.41
2013-05-26,54.875,9.375,5.0,77.0,17.0,0.17277302,0.39
2013-05-27,54.875,9.375,5.0,77.0,17.0,0.16964617,0.46
2013-05-28,54.875,9.375,5.0,77.0,17.0,0.15093477,0.39
2013-05-29,54.875,9.375,5.0,77.0,17.0,0.13747592,0.38
2013-05-31,54.875,9.375,5.0,77.0,17.0,0.101134814,0.35
2013-06-01,54.875,9.375,5.0,77.0,17.0,0.08827244,0.38
2013-06-02,54.875,9.375,5.0,77.0,17.0,0.07139039,0.36
2013-06-03,54.875,9.375,5.0,77.0,17.0,0.06288072,0.37
2013-06-05,54.875,9.375,5.0,77.0,17.0,0.05869313,0.34
2013-06-06,54.875,9.375,5.0,77.0,17.0,0.0748711,0.39
2013-06-07,54.875,9.375,5.0,77.0,17.0,0.099116445,0.35
2013-06-08,54.875,9.375,5.0,77.0,17.0,0.1172635,0.37
2013-06-10,54.875,9.375,5.0,77.0,17.0,0.13153087,0.38
2013-06-11,54.875,9.375,5.0,77.0,17.0,0.15347221,0.37
2013-06-12,54.875,9.375,5.0,77.0,17.0,0.1685889,0.38
2013-06-13,54.875,9.375,5.0,77.0,17.0,0.19479707,0.53
2013-06-15,54.875,9.375,5.0,77.0,17.0,0.20686676,0.37
2013-06-16,54.875,9.375,5.0,77.0,17.0,0.22049847,0.39
2013-06-18,54.875,9.375,5.0,77.0,17.0,0.2248579,0.4
2013-06-19,54.875,9.375,5.0,77.0,17.0,0.24025695,0.41
2013-06-20,54.875,9.375,5.0,77.0,17.0,0.24387659,0.43
2013-06-21,54.875,9.375,5.0,77.0,17.0,0.25167146,0.42
2013-06-23,54.875,9.375,5.0,77.0,17.0,0.25029168,0.46
2013-06-24,54.875,9.375,5.0,77.0,17.0,0.23960294,0.44
2013-06-25,54.875,9.375,5.0,77.0,17.0,0.23607454,0.39
2013-06-26,54.875,9.375,5.0,77.0,17.0,0.21641967,0.4
2013-06-28,54.875,9.375,5.0,77.0,17.0,0.19585712,0.51
2013-06-29,54.875,9.375,5.0,77.0,17.0,0.17316127,0.46
2013-06-30,54.875,9.375,5.0,77.0,17.0,0.14425081,0.41
2013-07-01,54.875,9.375,5.0,77.0,17.0,0.12268713,0.42
2013-07-03,54.875,9.375,5.0,77.0,17.0,0.09977527,0.39
2013-07-04,54.875,9.375,5.0,77.0,17.0,0.08129998,0.46
2013-07-06,54.875,9.375,5.0,77.0,17.0,0.062029373,0.42
2013-07-08,54.875,9.375,5.0,77.0,17.0,0.043593753,0.44
2013-07-09,54.875,9.375,5.0,77.0,17.0,0.032312606,0.43
2013-07-11,54.875,9.375,5.0,77.0,17.0,0.027720343,0.39
2013-07-12,54.875,9.375,5.0,77.0,17.0,0.03494024,0.47
2013-07-16,54.875,9.375,5.0,77.0,17.0,0.037328683,0.49
2013-07-17,54.875,9.375,5.0,77.0,17.0,0.0330302,0.46
2013-07-19,54.875,9.375,5.0,77.0,17.0,0.03827964,0.46
2013-07-21,54.875,9.375,5.0,77.0,17.0,0.050260346,0.43
2013-07-22,54.875,9.375,5.0,77.0,17.0,0.05359058,0.41
2013-07-24,54.875,9.375,5.0,77.0,17.0,0.054726187,0.39
2013-07-25,54.875,9.375,5.0,77.0,17.0,0.06149453,0.51
2013-07-26,54.875,9.375,5.0,77.0,17.0,0.07073513,0.48
2013-07-27,54.875,9.375,5.0,77.0,17.0,0.07668851,0.42
